,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
108,54,"SB Hossain, N Jiang, Q Zhou, X Li, WH Chiang…",A deep dive into large language models for automated bug localization and repair,2024,… Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3660773,https://scholar.google.com/scholar?cites=4573042316454512298&as_sdt=2005&sciodt=2007&hl=en,117,2025-04-10 10:45:08,,10.1145/3660773,,,,,,,54,54.0,9,6,1,"… on the CodeXGLUE code refinement benchmark, and exhibits … In the Defects4J benchmark, our approach consistently ranks … on software engineering tasks, lots of DL-based and LLM-…",https://dl.acm.org/doi/pdf/10.1145/3660773,https://scholar.google.com/scholar?q=related:qsYZ_8G1dj8J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
109,18,"X Yin, J Jiang, L Yang, X Wan",History matters: Temporal knowledge editing in large language model,2024,Proceedings of the AAAI Conference on …,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/29912,https://scholar.google.com/scholar?cites=5468193305868489547&as_sdt=2005&sciodt=2007&hl=en,118,2025-04-10 10:45:08,,,,,,,,,18,18.0,5,4,1,… LLM used in the experiments. is always new knowledge used to update for all models in our dataset and to make our dataset effective to be used as the benchmark … on ATOKE-SE and …,https://ojs.aaai.org/index.php/AAAI/article/view/29912/31594,https://scholar.google.com/scholar?q=related:S9N1B9fs4ksJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
110,49,"P Laban, W Kryściński, D Agarwal…",SummEdits: Measuring LLM ability at factual reasoning through the lens of summarization,2023,Proceedings of the …,aclanthology.org,https://aclanthology.org/2023.emnlp-main.600/,https://scholar.google.com/scholar?cites=6680501593173131434&as_sdt=2005&sciodt=2007&hl=en,119,2025-04-10 10:45:08,,,,,,,,,49,24.5,12,4,2,"… In Section 5, we introduce a protocol for benchmark creation that can involve an LLM. Based on the low reliability of labels in AggreFact, we note that a key requirement for future …",https://aclanthology.org/2023.emnlp-main.600.pdf,https://scholar.google.com/scholar?q=related:qgCE3s3otVwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
111,145,"T Guo, B Nan, Z Liang, Z Guo…",What can large language models do in chemistry? a comprehensive benchmark on eight tasks,2023,Advances in …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2023/hash/bbb330189ce02be00cf7346167028ab1-Abstract-Datasets_and_Benchmarks.html,https://scholar.google.com/scholar?cites=12456636741484874039&as_sdt=2005&sciodt=2007&hl=en,120,2025-04-10 10:45:08,,,,,,,,,145,72.5,29,5,2,"… as science, finance and software engineering. However, the … LLMs and establish a benchmark containing eight chemistry … transform such tasks to suit LLM processing and to perform a …",https://proceedings.neurips.cc/paper_files/paper/2023/file/bbb330189ce02be00cf7346167028ab1-Paper-Datasets_and_Benchmarks.pdf,https://scholar.google.com/scholar?q=related:NwlJSB7d3qwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
112,31,"N Jain, T Zhang, WL Chiang, JE Gonzalez…",Llm-assisted code cleaning for training accurate code generators,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2311.14904,https://scholar.google.com/scholar?cites=12902330141507891704&as_sdt=2005&sciodt=2007&hl=en,121,2025-04-10 10:45:08,,,,,,,,,31,15.5,6,5,2,… LLM based transformations. We evaluate our approach on two challenging algorithmic code generation benchmarks … can be beneficial for general software engineering use cases (test …,https://arxiv.org/pdf/2311.14904,https://scholar.google.com/scholar?q=related:-LFke-dIDrMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
114,22,"JM Laurent, JD Janizek, M Ruzo, MM Hinks…",Lab-bench: Measuring capabilities of language models for biology research,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2407.10362,https://scholar.google.com/scholar?cites=4982869593390285388&as_sdt=2005&sciodt=2007&hl=en,124,2025-04-10 10:45:08,,,,,,,,,22,22.0,4,5,1,"… , 28, 50] to domain-specific tasks like software engineering [19], scalable oversight [46], and … prior benchmarks that aimed to assess the general biological factuality of LLM generations […",https://arxiv.org/pdf/2407.10362?,https://scholar.google.com/scholar?q=related:TIIfrH61JkUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
115,73,"I Bouzenia, P Devanbu, M Pradel","Repairagent: An autonomous, llm-based agent for program repair",2024,arXiv preprint arXiv:2403.17134,arxiv.org,https://arxiv.org/abs/2403.17134,https://scholar.google.com/scholar?cites=15142625290678404182&as_sdt=2005&sciodt=2007&hl=en,125,2025-04-10 10:45:08,,,,,,,,,73,73.0,24,3,1,"… , a widely used benchmark for evaluating program repair … code generation problem in software engineering. Copra is … , other LLMbased agents for software engineering tasks have …",https://arxiv.org/pdf/2403.17134,https://scholar.google.com/scholar?q=related:VoS7CXlpJdIJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
116,65,"N Alzahrani, H Alyahya, Y Alnumay…",When benchmarks are targets: Revealing the sensitivity of large language model leaderboards,2024,Proceedings of the …,aclanthology.org,https://aclanthology.org/2024.luhme-long.744/,https://scholar.google.com/scholar?cites=3455059441099051091&as_sdt=2005&sciodt=2007&hl=en,126,2025-04-10 10:45:08,,,,,,,,,65,65.0,16,4,1,… As MCQ benchmarks-based leaderboards are often used to compare models and guide … of benchmarks for this purpose. Figure 1 demonstrates how existing benchmarks exhibit …,https://aclanthology.org/2024.acl-long.744.pdf,https://scholar.google.com/scholar?q=related:U5CRiEHW8i8J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
117,277,"X Chen, H Peng, D Wang, H Lu…",Seqtrack: Sequence to sequence learning for visual object tracking,2023,Proceedings of the IEEE …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2023/html/Chen_SeqTrack_Sequence_to_Sequence_Learning_for_Visual_Object_Tracking_CVPR_2023_paper.html,https://scholar.google.com/scholar?cites=726105666407080441&as_sdt=2005&sciodt=2007&hl=en,127,2025-04-10 10:45:08,,,,,,,,,277,138.5,55,5,2,"… with a bidirectional transformer, while the … benchmarks, including TNL2K [49], NFS [23], and UAV123 [36]. TNL2K is a recently released large-scale dataset with 700 challenging video se…",https://openaccess.thecvf.com/content/CVPR2023/papers/Chen_SeqTrack_Sequence_to_Sequence_Learning_for_Visual_Object_Tracking_CVPR_2023_paper.pdf,https://scholar.google.com/scholar?q=related:-aGXq0GlEwoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
118,76,"L Zhong, Z Wang, J Shang",Debug like a human: A large language model debugger via verifying runtime execution step-by-step,2024,arXiv preprint arXiv:2402.16906,arxiv.org,https://arxiv.org/abs/2402.16906,https://scholar.google.com/scholar?cites=18041664338020306082&as_sdt=2005&sciodt=2007&hl=en,128,2025-04-10 10:45:08,,,,,,,,,76,76.0,25,3,1,… Extensive experiments on three code generation benchmarks demonstrate the effectiveness of LDB in debugging generated programs across different LLM backbones. Reproducibility. …,https://arxiv.org/pdf/2402.16906,https://scholar.google.com/scholar?q=related:ooyIaCDeYPoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
119,90,"VK Felkner, HCH Chang, E Jang, J May",Winoqueer: A community-in-the-loop benchmark for anti-lgbtq+ bias in large language models,2023,arXiv preprint arXiv:2306.15087,arxiv.org,https://arxiv.org/abs/2306.15087,https://scholar.google.com/scholar?cites=1550186237680504696&as_sdt=2005&sciodt=2007&hl=en,129,2025-04-10 10:45:08,,,,,,,,,90,45.0,23,4,2,"… benchmark to several popular LLMs and find that off-the-shelf models generally do exhibit considerable anti-queer bias. Finally, we show that LLM … generalizability due to selection bias …",https://arxiv.org/pdf/2306.15087,https://scholar.google.com/scholar?q=related:eE-lgCtegxUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
120,19,"S Bharadwaj, T Kadam",Github issue classification using bert-style models,2022,… Natural Language-based Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3528588.3528663,https://scholar.google.com/scholar?cites=10194653776194692881&as_sdt=2005&sciodt=2007&hl=en,130,2025-04-10 10:45:08,,10.1145/3528588.3528663,,,,,,,19,6.33,10,2,3,… classification task from the NL-Based Software Engineering workshop. We approach the task … We perform a thorough ablation analysis of the designed features and benchmark various …,https://www.academia.edu/download/99935873/3528588.pdf,https://scholar.google.com/scholar?q=related:Eectipiveo0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
121,1,"K Jassem, M Ciesiółka, F Graliński, P Jabłoński…",LLMzSz {\L}: a comprehensive LLM benchmark for Polish,2025,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2501.02266,https://scholar.google.com/scholar?cites=3582655168066727472&as_sdt=2005&sciodt=2007&hl=en,131,2025-04-10 10:45:08,,,,,,,,,1,1.0,0,5,1,… This article introduces the first comprehensive benchmark for the Polish language at this scale: LLMzSzŁ (LLMs Behind the School Desk). It is based on a coherent collection of Polish …,https://arxiv.org/pdf/2501.02266,https://scholar.google.com/scholar?q=related:MK5VxeQluDEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
122,29,"Y Qin, S Wang, Y Lou, J Dong, K Wang, X Li…",Agentfl: Scaling llm-based fault localization to project-level context,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2403.16362,https://scholar.google.com/scholar?cites=10893215389482816878&as_sdt=2005&sciodt=2007&hl=en,132,2025-04-10 10:45:08,,,,,,,,,29,29.0,4,7,1,"… In line with most existing fault localization work, we include the two versions of the widely-used benchmarks Defects4J [19] (ie, Defects4J-V1.2.0 and Defects4J-V2.0.0) for evaluation. In …",https://arxiv.org/pdf/2403.16362,https://scholar.google.com/scholar?q=related:bhXxl655LJcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
123,176,"S Ouyang, JM Zhang, M Harman, M Wang",LLM is Like a Box of Chocolates: the Non-determinism of ChatGPT in Code Generation,2023,arXiv e-prints,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2023arXiv230802828O/abstract,https://scholar.google.com/scholar?cites=4084713306119012270&as_sdt=2005&sciodt=2007&hl=en,133,2025-04-10 10:45:08,,,,,,,,,176,88.0,44,4,2,"… Models (LLMs) for software engineering tasks, in particular code … from three code generation benchmarks (ie, CodeContests, … In order to put LLM-based research on firmer scientific …",,https://scholar.google.com/scholar?q=related:rv-INBzRrzgJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
124,42,"QJ Hu, J Bieker, X Li, N Jiang, B Keigwin…",Routerbench: A benchmark for multi-llm routing system,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2403.12031,https://scholar.google.com/scholar?cites=5545370544983017876&as_sdt=2005&sciodt=2007&hl=en,134,2025-04-10 10:45:08,,,,,,,,,42,42.0,7,6,1,"… This limitation has led to the development of LLM routing … benchmark for evaluating the performance of LLM routers … systematically assess the efficacy of LLM routing systems, along with …",https://arxiv.org/pdf/2403.12031,https://scholar.google.com/scholar?q=related:lImgSSEd9UwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
125,2,"Y Zhao, K Xu, Z Zhu, Y Hu, Z Zheng, Y Chen…",Cityeqa: A hierarchical llm agent on embodied question answering benchmark in city space,2025,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2502.12532,https://scholar.google.com/scholar?cites=16025368024864451632&as_sdt=2005&sciodt=2007&hl=en,135,2025-04-10 10:45:08,,,,,,,,,2,2.0,0,7,1,"… To support this task, we present CityEQA-EC, the first benchmark dataset featuring 1,412 human-annotated tasks across six categories, grounded in a realistic 3D urban simulator. …",https://arxiv.org/pdf/2502.12532?,https://scholar.google.com/scholar?q=related:MOzyBFCLZd4J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
126,12,"N Saleem, TS Gunawan, S Dhahbi, S Bourouis",Time domain speech enhancement with CNN and time-attention transformer,2024,Digital Signal Processing,Elsevier,https://www.sciencedirect.com/science/article/pii/S1051200424000332,https://scholar.google.com/scholar?cites=2383108872906654369&as_sdt=2005&sciodt=2007&hl=en,136,2025-04-10 10:45:08,,,,,,,,,12,12.0,3,4,1,"… The dataset has become a benchmark for evaluating SE models and has been used in competing studies (SEGAN, DESEGAN, Sinc-SEGAN, SERGAN, SASEGAN, Wave-UNet, Att-…",http://irep.iium.edu.my/111097/2/111097_Time%20domain%20speech%20enhancement%20with%20CNN_SCOPUS.pdf,https://scholar.google.com/scholar?q=related:ocKuxuSAEiEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
127,672,"L Rampášek, M Galkin, VP Dwivedi…","Recipe for a general, powerful, scalable graph transformer",2022,Advances in …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2022/hash/5d4834a159f1547b267a05a4e2b7cf5e-Abstract-Conference.html,https://scholar.google.com/scholar?cites=6992910764828744943&as_sdt=2005&sciodt=2007&hl=en,137,2025-04-10 10:45:08,,,,,,,,,672,224.0,168,4,3,"… on 16 benchmarks and show … SE by showing how message-passing networks, despite operating on the graph structure, remain blind to the information encapsulated by the PE and SE. …",https://proceedings.neurips.cc/paper_files/paper/2022/file/5d4834a159f1547b267a05a4e2b7cf5e-Paper-Conference.pdf,https://scholar.google.com/scholar?q=related:71yfY0rPC2EJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
128,13,"AI Alam, PR Roy, F Al-Omari, CK Roy…",GPTCloneBench: A comprehensive benchmark of semantic clones and cross-language clones using GPT-3 model and SemanticCloneBench,2023,2023 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10336319/,https://scholar.google.com/scholar?cites=10177526901524968381&as_sdt=2005&sciodt=2007&hl=en,138,2025-04-10 10:45:08,,,,,,,,,13,6.5,3,5,2,"… Our Benchmark has more semantic clone pairs than SemanticCloneBench, more … the software clone community to do more research on semantic clones. This initial edition of the …",https://arxiv.org/pdf/2308.13963,https://scholar.google.com/scholar?q=related:vbNgScvWPY0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
129,40,"F Lin, DJ Kim",When llm-based code generation meets the software development process,2024,arXiv e-prints,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2024arXiv240315852L/abstract,https://scholar.google.com/scholar?cites=3628517965804071393&as_sdt=2005&sciodt=2007&hl=en,139,2025-04-10 10:45:08,,,,,,,,,40,40.0,20,2,1,"… framework inspired by established software engineering practices. LCG leverages multiple … LLM and baseline (GPT), we evaluate LCG across four code generation benchmarks: …",,https://scholar.google.com/scholar?q=related:4enffN0VWzIJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
130,3,"M Abdelatty, J Ma, S Reda",Metrex: A benchmark for verilog code metric reasoning using llms,2025,Proceedings of the 30th Asia and South …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3658617.3697625,https://scholar.google.com/scholar?cites=8897843053549256328&as_sdt=2005&sciodt=2007&hl=en,140,2025-04-10 10:45:08,,10.1145/3658617.3697625,,,,,,,3,3.0,1,3,1,… technique that improves the LLM’s reasoning and understand… SFT can significantly improve the LLM performance in reasoning … We compare the LLM estimation accuracy to regression…,https://dl.acm.org/doi/pdf/10.1145/3658617.3697625,https://scholar.google.com/scholar?q=related:iP76SR19e3sJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
131,16,"J Lee, M Kim, S Kim, J Kim, S Won, H Lee…",KorNAT: LLM alignment benchmark for Korean social Values and common knowledge,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2402.13605,https://scholar.google.com/scholar?cites=8430023932598593376&as_sdt=2005&sciodt=2007&hl=en,141,2025-04-10 10:45:08,,,,,,,,,16,16.0,2,7,1,"… To this end, we introduce National Alignment, which measures an alignment between an LLM … We constructed KorNAT, the first benchmark that measures national alignment with South …",https://arxiv.org/pdf/2402.13605,https://scholar.google.com/scholar?q=related:YKeUPhp2_XQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
132,38,"W Yan, Y Tian, Y Li, Q Chen, W Wang",Codetransocean: A comprehensive multilingual benchmark for code translation,2023,arXiv preprint arXiv:2310.04951,arxiv.org,https://arxiv.org/abs/2310.04951,https://scholar.google.com/scholar?cites=8481528293581625518&as_sdt=2005&sciodt=2007&hl=en,142,2025-04-10 10:45:08,,,,,,,,,38,19.0,8,5,2,"… a large-scale comprehensive benchmark that supports the largest … Last but not least, we evaluate LLM ChatGPT on our datasets … Selecting an appropriate DL framework for green AI has …",https://arxiv.org/pdf/2310.04951,https://scholar.google.com/scholar?q=related:rphbwwtxtHUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
133,16,"Y Wang, Z Chu, X Ouyang, S Wang, H Hao…",Llmrg: Improving recommendations through large language model reasoning graphs,2024,Proceedings of the …,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/29887,https://scholar.google.com/scholar?cites=503919135165187561&as_sdt=2005&sciodt=2007&hl=en,143,2025-04-10 10:45:08,,,,,,,,,16,16.0,3,6,1,"… and LLM-derived reasoning graphs. We demonstrate the effectiveness of LLMRG on benchmarks … Besides the observed behavioral sequences, we aim to conduct divergent thinking …",https://ojs.aaai.org/index.php/AAAI/article/download/29887/31548,https://scholar.google.com/scholar?q=related:6QULl8hH_gYJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
134,29,"Z Rasheed, M Waseem, M Saari, K Systä…",Codepori: Large scale model for autonomous software development by using multi-agents,2024,arXiv e …,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2024arXiv240201411R/abstract,https://scholar.google.com/scholar?cites=6983932222540851222&as_sdt=2005&sciodt=2007&hl=en,144,2025-04-10 10:45:08,,,,,,,,,29,29.0,6,5,1,… reshaping the field of Software Engineering (SE). Existing … We employ LLM-based multi-AI agents to handle creative and … that CodePori improves upon the benchmarks in terms of code …,https://researchportal.tuni.fi/files/125070149/2402.01411v1.pdf,https://scholar.google.com/scholar?q=related:Fqjzm1rp62AJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
135,19,"X Li, X Feng, S Hu, M Wu, D Zhang…",Dtllm-vlt: Diverse text generation for visual language tracking based on llm,2024,Proceedings of the …,openaccess.thecvf.com,https://openaccess.thecvf.com/content/CVPR2024W/VDU/html/Li_DTLLM-VLT_Diverse_Text_Generation_for_Visual_Language_Tracking_Based_on_CVPRW_2024_paper.html,https://scholar.google.com/scholar?cites=15229650526454811368&as_sdt=2005&sciodt=2007&hl=en,145,2025-04-10 10:45:08,,,,,,,,,19,19.0,3,6,1,… various visual tracking benchmarks. (2) We select three prominent benchmarks to deploy … Further details regarding the number of semantic descriptions are presented in Table 1. The …,https://openaccess.thecvf.com/content/CVPR2024W/VDU/papers/Li_DTLLM-VLT_Diverse_Text_Generation_for_Visual_Language_Tracking_Based_on_CVPRW_2024_paper.pdf,https://scholar.google.com/scholar?q=related:6AqusnaWWtMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
136,27,"Y Ma, Q Yang, R Cao, B Li, F Huang, Y Li",How to understand whole software repository?,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2406.01422,https://scholar.google.com/scholar?cites=15930012011732148958&as_sdt=2005&sciodt=2007&hl=en,146,2025-04-10 10:45:08,,,,,,,,,27,27.0,5,6,1,"… -end LLM-based agent system for complex realworld SE tasks (… attention from the AI and SE communities, notably sparking … officially recommended as the benchmark of LLM-based SE …",https://arxiv.org/pdf/2406.01422,https://scholar.google.com/scholar?q=related:3iIAG4bFEt0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
137,35,"F Mu, L Shi, S Wang, Z Yu, B Zhang, C Wang…",Clarifygpt: Empowering llm-based code generation with intention clarification,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2310.10996,https://scholar.google.com/scholar?cites=10588468053142252760&as_sdt=2005&sciodt=2007&hl=en,147,2025-04-10 10:45:08,,,,,,,,,35,17.5,5,7,2,"… on two publicly available benchmarks: MBPP-sanitized and … different LLMs and benchmarks without requiring user … , artificial intelligence, and software engineering. Recent efforts tackle …",https://arxiv.org/pdf/2310.10996,https://scholar.google.com/scholar?q=related:2KwdH5jL8ZIJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
138,13,"R Naik, V Chandrasekaran, M Yuksekgonul, H Palangi…",Diversity of thought improves reasoning abilities of large language models,2023,,openreview.net,https://openreview.net/forum?id=FvfhHucpLd,https://scholar.google.com/scholar?cites=9245429615559080413&as_sdt=2005&sciodt=2007&hl=en,148,2025-04-10 10:45:08,,,,,,,,,13,6.5,3,5,2,"… We find that with the IDIV-SE method, the LLM is not limited to the approaches we provide; it … -SE and DIV-SE for GSM8K and AQuA. For the planning and commonsense benchmarks, …",https://openreview.net/pdf?id=FvfhHucpLd,https://scholar.google.com/scholar?q=related:3XlGP0BdToAJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
